report_id,title,description,area,time_of_day,population_density,distance_to_school_km,complaint_age_hours,nearby_open_reports,brightness,edge_density,red_ratio,brown_ratio,green_ratio,blue_ratio,issue_type,severity_score,priority,recommended_team
CP-00743,Trash near Whitefield,trash reported at Whitefield during night. dangerous needs attention from city staff.,Whitefield,night,0.41,1.45,42,3,26.27,0.422,0.039,0.068,0.585,0.53,Garbage,79,P1 Emergency,Waste collection crew
CP-00744,Damaged Lane near Jayanagar,damaged lane reported at Jayanagar during morning. main road needs attention from city staff.,Jayanagar,morning,0.26,0.69,4,0,113.77,0.779,0.134,0.356,0.464,0.376,Pothole,77,P2 High,Emergency roads crew
CP-00745,Dark Road near Ulsoor,dark road reported at Ulsoor during night. dangerous elderly urgent needs attention from city staff.,Ulsoor,night,0.53,2.78,18,0,14.75,0.587,0.232,0.569,0.359,0.411,Broken Light,77,P2 High,Electrical team
CP-00746,Burst Pipe near Ulsoor,burst pipe reported at Ulsoor during night. urgent needs attention from city staff.,Ulsoor,night,0.4,2.86,21,3,117.05,0.505,0.048,0.304,0.198,0.393,Water Leak,87,P1 Emergency,Drainage crew
CP-00747,Race Car upload,race car image captured at Whitefield during morning. Non-civic content without a public infrastructure problem.,Whitefield,morning,0.83,2.58,4,1,109.05,0.118,0.552,0.17,0.208,0.285,Unsupported,27,P4 Low,Manual review
CP-00748,Digital Render upload,digital render image captured at MG Road during night. Non-civic content without a public infrastructure problem.,MG Road,night,0.3,3.04,11,0,123.28,0.344,0.372,0.028,0.142,0.176,Unsupported,27,P4 Low,Manual review
CP-00749,Broken Lamp near Indiranagar,broken lamp reported at Indiranagar during morning. urgent dangerous needs attention from city staff.,Indiranagar,morning,0.85,3.45,25,5,10.86,0.481,0.197,0.367,0.494,0.113,Broken Light,83,P1 Emergency,Night safety crew
CP-00750,Road Crack near Whitefield,road crack reported at Whitefield during night.  needs attention from city staff.,Whitefield,night,0.77,0.11,7,8,78.92,0.947,0.207,0.357,0.171,0.144,Pothole,100,P1 Emergency,Roads team
CP-00751,Construction Debris near Jayanagar,construction debris reported at Jayanagar during night. elderly main road needs attention from city staff.,Jayanagar,night,0.32,1.85,19,8,145.36,0.567,0.189,0.378,0.098,0.404,Road Block,97,P1 Emergency,Emergency clearing crew
CP-00752,Trash near Koramangala,trash reported at Koramangala during night. traffic jam dangerous children elderly needs attention from city staff.,Koramangala,night,0.55,1.98,8,6,119.55,0.099,0.169,0.118,0.447,0.331,Garbage,98,P1 Emergency,Waste collection crew
CP-00753,Showroom Image upload,showroom image image captured at Ulsoor during afternoon. Non-civic content without a public infrastructure problem.,Ulsoor,afternoon,0.49,3.02,12,2,92.74,0.414,0.181,0.069,0.096,0.226,Unsupported,20,P4 Low,Manual review
CP-00754,Trash near Ulsoor,trash reported at Ulsoor during night. night needs attention from city staff.,Ulsoor,night,0.75,0.37,71,6,111.67,0.37,0.188,0.602,0.603,0.402,Garbage,81,P1 Emergency,Sanitation team
CP-00755,Road Blocked near Jayanagar,road blocked reported at Jayanagar during evening. night needs attention from city staff.,Jayanagar,evening,0.88,2.73,52,8,43.83,0.574,0.223,0.555,0.164,0.631,Road Block,100,P1 Emergency,Traffic response team
CP-00756,Dumped Bags near Whitefield,dumped bags reported at Whitefield during night.  needs attention from city staff.,Whitefield,night,0.7,3.18,50,1,179.75,0.178,0.275,0.264,0.357,0.075,Garbage,62,P2 High,Sanitation team
CP-00757,Car Wallpaper upload,car wallpaper image captured at Ulsoor during evening. Non-civic content without a public infrastructure problem.,Ulsoor,evening,0.31,2.68,1,1,110.98,0.19,0.361,0.034,0.163,0.102,Unsupported,23,P4 Low,Manual review
CP-00758,Damaged Lane near Whitefield,damaged lane reported at Whitefield during night. children school needs attention from city staff.,Whitefield,night,0.75,2.11,45,0,108.87,0.94,0.248,0.784,0.458,0.648,Pothole,94,P1 Emergency,Roads team
CP-00759,No Lighting near Ulsoor,no lighting reported at Ulsoor during evening.  needs attention from city staff.,Ulsoor,evening,0.3,0.72,26,7,29.37,0.867,0.269,0.218,0.399,0.136,Broken Light,93,P1 Emergency,Electrical team
CP-00760,Crater near Jayanagar,crater reported at Jayanagar during morning. traffic jam needs attention from city staff.,Jayanagar,morning,0.31,0.61,49,1,55.02,0.937,0.236,0.607,0.188,0.338,Pothole,90,P1 Emergency,Roads team
CP-00761,Water Filled Hole near Koramangala,water filled hole reported at Koramangala during morning. main road accident risk school needs attention from city staff.,Koramangala,morning,0.79,0.63,75,5,27.65,0.429,0.104,0.484,0.453,0.313,Pothole,100,P1 Emergency,Emergency roads crew
CP-00762,Sewage Overflow near Indiranagar,sewage overflow reported at Indiranagar during night. dangerous needs attention from city staff.,Indiranagar,night,0.75,0.64,24,1,22.24,0.216,0.053,0.33,0.455,0.436,Water Leak,85,P1 Emergency,Drainage crew
CP-00763,Sewage Overflow near Koramangala,sewage overflow reported at Koramangala during night. main road needs attention from city staff.,Koramangala,night,0.43,1.52,30,8,58.88,0.177,0.159,0.362,0.548,0.509,Water Leak,91,P1 Emergency,Drainage crew
CP-00764,Pothole near Richmond Road,pothole reported at Richmond Road during night. main road elderly needs attention from city staff.,Richmond Road,night,0.61,0.26,64,3,164.05,0.479,0.232,0.527,0.028,0.54,Pothole,99,P1 Emergency,Roads team
CP-00765,Electric Pole near MG Road,electric pole reported at MG Road during evening. school needs attention from city staff.,MG Road,evening,0.26,1.21,58,1,12.51,0.42,0.068,0.066,0.365,0.657,Broken Light,73,P2 High,Night safety crew
CP-00766,Drain Water near Richmond Road,drain water reported at Richmond Road during evening. urgent accident risk dangerous needs attention from city staff.,Richmond Road,evening,0.84,3.04,21,2,162.75,0.112,0.113,0.041,0.341,0.661,Water Leak,84,P1 Emergency,Drainage crew
CP-00767,No Lighting near Jayanagar,no lighting reported at Jayanagar during morning. accident risk night needs attention from city staff.,Jayanagar,morning,0.74,1.03,58,8,65.27,0.888,0.218,0.043,0.367,0.082,Broken Light,94,P1 Emergency,Night safety crew
CP-00768,Drain Water near MG Road,drain water reported at MG Road during night. school needs attention from city staff.,MG Road,night,0.46,2.74,79,1,135.11,0.638,0.145,0.405,0.281,0.753,Water Leak,82,P1 Emergency,Drainage crew
CP-00769,Trash near Ulsoor,trash reported at Ulsoor during night. school night accident risk needs attention from city staff.,Ulsoor,night,1.0,0.18,83,8,70.92,0.52,0.13,0.137,0.301,0.181,Garbage,100,P1 Emergency,Sanitation team
CP-00770,Broken Lamp near Ulsoor,broken lamp reported at Ulsoor during night. elderly main road night needs attention from city staff.,Ulsoor,night,0.68,0.16,16,2,65.92,0.535,0.225,0.236,0.219,0.191,Broken Light,86,P1 Emergency,Night safety crew
CP-00771,Dark Road near Indiranagar,dark road reported at Indiranagar during evening. accident risk school night needs attention from city staff.,Indiranagar,evening,0.84,2.91,29,3,50.44,0.837,0.173,0.085,0.235,0.197,Broken Light,100,P1 Emergency,Electrical team
CP-00772,Electric Pole near Koramangala,electric pole reported at Koramangala during afternoon. children school needs attention from city staff.,Koramangala,afternoon,0.98,0.64,76,3,69.47,0.267,0.162,0.512,0.216,0.172,Broken Light,86,P1 Emergency,Night safety crew
CP-00773,Pothole near Koramangala,pothole reported at Koramangala during evening. children accident risk traffic jam main road needs attention from city staff.,Koramangala,evening,0.82,2.72,37,4,55.87,0.909,0.187,0.621,0.378,0.368,Pothole,100,P1 Emergency,Emergency roads crew
CP-00774,Waste Pile near Ulsoor,waste pile reported at Ulsoor during afternoon.  needs attention from city staff.,Ulsoor,afternoon,0.45,0.18,47,3,83.12,0.154,0.103,0.088,0.367,0.158,Garbage,66,P2 High,Sanitation team
CP-00775,Sewage Overflow near Indiranagar,sewage overflow reported at Indiranagar during night. main road dangerous needs attention from city staff.,Indiranagar,night,0.89,0.21,80,4,172.44,0.206,0.246,0.526,0.17,0.391,Water Leak,99,P1 Emergency,Water works team
CP-00776,Road Blocked near Ulsoor,road blocked reported at Ulsoor during afternoon. dangerous children needs attention from city staff.,Ulsoor,afternoon,0.82,0.07,47,2,57.6,0.512,0.169,0.503,0.233,0.625,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00777,Electric Pole near Jayanagar,electric pole reported at Jayanagar during night. main road elderly children needs attention from city staff.,Jayanagar,night,0.46,3.03,18,7,53.44,0.509,0.276,0.583,0.168,0.45,Broken Light,90,P1 Emergency,Night safety crew
CP-00778,Broken Lamp near Indiranagar,broken lamp reported at Indiranagar during morning. accident risk school main road needs attention from city staff.,Indiranagar,morning,0.98,2.85,55,5,47.63,0.863,0.032,0.045,0.103,0.229,Broken Light,100,P1 Emergency,Electrical team
CP-00779,Race Car upload,race car image captured at Whitefield during evening. Non-civic content without a public infrastructure problem.,Whitefield,evening,0.3,2.8,8,0,94.88,0.418,0.554,0.099,0.09,0.204,Unsupported,27,P4 Low,Manual review
CP-00780,Waste Pile near Whitefield,waste pile reported at Whitefield during night. children needs attention from city staff.,Whitefield,night,0.36,0.07,47,8,177.57,0.671,0.26,0.201,0.367,0.067,Garbage,96,P1 Emergency,Sanitation team
CP-00781,Garbage near Indiranagar,garbage reported at Indiranagar during evening. school traffic jam accident risk needs attention from city staff.,Indiranagar,evening,0.72,0.25,95,0,161.68,0.516,0.134,0.328,0.418,0.396,Garbage,89,P1 Emergency,Waste collection crew
CP-00782,Damaged Lane near Koramangala,damaged lane reported at Koramangala during night. school main road needs attention from city staff.,Koramangala,night,0.49,2.63,47,8,120.44,0.681,0.125,0.641,0.519,0.241,Pothole,100,P1 Emergency,Emergency roads crew
CP-00783,Road Blocked near Richmond Road,road blocked reported at Richmond Road during afternoon. dangerous needs attention from city staff.,Richmond Road,afternoon,0.79,3.36,83,7,48.09,0.464,0.084,0.299,0.4,0.168,Road Block,100,P1 Emergency,Traffic response team
CP-00784,Water Filled Hole near Indiranagar,water filled hole reported at Indiranagar during afternoon. school needs attention from city staff.,Indiranagar,afternoon,0.81,3.09,13,6,147.9,0.492,0.176,0.461,0.145,0.394,Pothole,93,P1 Emergency,Roads team
CP-00785,Construction Debris near Koramangala,construction debris reported at Koramangala during night. main road needs attention from city staff.,Koramangala,night,0.34,2.55,60,7,55.02,0.759,0.102,0.613,0.323,0.198,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00786,Water Filled Hole near Ulsoor,water filled hole reported at Ulsoor during night. children needs attention from city staff.,Ulsoor,night,0.25,2.02,57,1,45.93,0.518,0.197,0.688,0.423,0.639,Pothole,89,P1 Emergency,Emergency roads crew
CP-00787,Supercar upload,supercar image captured at Ulsoor during afternoon. Non-civic content without a public infrastructure problem.,Ulsoor,afternoon,0.27,2.81,9,2,161.59,0.383,0.297,0.104,0.137,0.303,Unsupported,23,P4 Low,Manual review
CP-00788,Trash near Indiranagar,trash reported at Indiranagar during night. night main road needs attention from city staff.,Indiranagar,night,0.94,2.81,6,3,22.77,0.902,0.089,0.264,0.598,0.409,Garbage,88,P1 Emergency,Waste collection crew
CP-00789,Vehicle Render upload,vehicle render image captured at Indiranagar during morning. Non-civic content without a public infrastructure problem.,Indiranagar,morning,0.27,2.63,1,2,114.97,0.163,0.468,0.135,0.05,0.211,Unsupported,23,P4 Low,Manual review
CP-00790,Road Blocked near Richmond Road,road blocked reported at Richmond Road during afternoon. dangerous school needs attention from city staff.,Richmond Road,afternoon,0.8,0.45,21,1,158.68,0.856,0.27,0.278,0.419,0.115,Road Block,90,P1 Emergency,Traffic response team
CP-00791,Supercar upload,supercar image captured at MG Road during morning. Non-civic content without a public infrastructure problem.,MG Road,morning,0.34,3.12,9,0,131.64,0.208,0.501,0.016,0.13,0.161,Unsupported,23,P4 Low,Manual review
CP-00792,Broken Lamp near Jayanagar,broken lamp reported at Jayanagar during afternoon. dangerous school elderly needs attention from city staff.,Jayanagar,afternoon,0.33,1.03,72,6,17.31,0.198,0.114,0.026,0.372,0.688,Broken Light,88,P1 Emergency,Electrical team
CP-00793,Display Shot upload,display shot image captured at Indiranagar during evening. Non-civic content without a public infrastructure problem.,Indiranagar,evening,0.79,2.9,7,1,117.1,0.188,0.188,0.027,0.213,0.073,Unsupported,21,P4 Low,Manual review
CP-00794,Garbage near Koramangala,garbage reported at Koramangala during afternoon. urgent needs attention from city staff.,Koramangala,afternoon,0.27,3.47,7,6,39.7,0.596,0.15,0.371,0.528,0.133,Garbage,81,P1 Emergency,Sanitation team
CP-00795,Fallen Tree near Indiranagar,fallen tree reported at Indiranagar during afternoon.  needs attention from city staff.,Indiranagar,afternoon,0.9,1.88,14,5,71.11,0.88,0.07,0.574,0.355,0.025,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00796,Display Shot upload,display shot image captured at MG Road during night. Non-civic content without a public infrastructure problem.,MG Road,night,0.97,3.47,2,0,174.77,0.253,0.344,0.082,0.046,0.109,Unsupported,21,P4 Low,Manual review
CP-00797,Pothole near MG Road,pothole reported at MG Road during morning.  needs attention from city staff.,MG Road,morning,0.28,0.14,95,6,108.61,0.699,0.13,0.593,0.068,0.13,Pothole,97,P1 Emergency,Emergency roads crew
CP-00798,Garbage near Whitefield,garbage reported at Whitefield during night. dangerous night needs attention from city staff.,Whitefield,night,0.31,1.8,53,7,36.27,0.125,0.208,0.229,0.395,0.573,Garbage,98,P1 Emergency,Waste collection crew
CP-00799,Garbage near Indiranagar,garbage reported at Indiranagar during morning. school dangerous night needs attention from city staff.,Indiranagar,morning,0.67,0.68,69,8,128.22,0.455,0.206,0.396,0.505,0.159,Garbage,98,P1 Emergency,Sanitation team
CP-00800,Overflowing Bin near Richmond Road,overflowing bin reported at Richmond Road during night. children accident risk elderly needs attention from city staff.,Richmond Road,night,0.87,0.32,75,1,103.94,0.778,0.205,0.319,0.441,0.686,Garbage,95,P1 Emergency,Waste collection crew
CP-00801,Road Blocked near MG Road,road blocked reported at MG Road during morning.  needs attention from city staff.,MG Road,morning,0.59,1.73,60,1,166.23,0.111,0.217,0.185,0.145,0.542,Road Block,75,P2 High,Emergency clearing crew
CP-00802,Dark Road near Koramangala,dark road reported at Koramangala during morning. dangerous needs attention from city staff.,Koramangala,morning,0.44,2.15,5,9,69.36,0.777,0.235,0.605,0.229,0.432,Broken Light,89,P1 Emergency,Electrical team
CP-00803,Vehicle Obstruction near Jayanagar,vehicle obstruction reported at Jayanagar during night. dangerous needs attention from city staff.,Jayanagar,night,0.7,2.64,14,6,165.29,0.883,0.067,0.326,0.525,0.35,Road Block,99,P1 Emergency,Traffic response team
CP-00804,Dumped Bags near Whitefield,dumped bags reported at Whitefield during evening. elderly school dangerous needs attention from city staff.,Whitefield,evening,0.69,3.2,79,7,149.12,0.136,0.236,0.186,0.662,0.597,Garbage,86,P1 Emergency,Sanitation team
CP-00805,Fallen Tree near Jayanagar,fallen tree reported at Jayanagar during morning. main road needs attention from city staff.,Jayanagar,morning,0.32,0.24,21,0,120.93,0.635,0.095,0.555,0.498,0.391,Road Block,96,P1 Emergency,Traffic response team
CP-00806,Road Blocked near Indiranagar,road blocked reported at Indiranagar during morning. main road children needs attention from city staff.,Indiranagar,morning,0.98,3.37,94,8,100.58,0.574,0.102,0.437,0.036,0.578,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00807,Broken Lamp near Richmond Road,broken lamp reported at Richmond Road during afternoon. school dangerous needs attention from city staff.,Richmond Road,afternoon,0.68,1.57,65,5,37.41,0.09,0.073,0.531,0.158,0.052,Broken Light,83,P1 Emergency,Electrical team
CP-00808,Overflowing Bin near Ulsoor,overflowing bin reported at Ulsoor during morning. elderly dangerous school needs attention from city staff.,Ulsoor,morning,0.82,2.35,21,8,162.56,0.646,0.178,0.519,0.642,0.308,Garbage,90,P1 Emergency,Waste collection crew
CP-00809,Drain Water near MG Road,drain water reported at MG Road during evening. urgent accident risk needs attention from city staff.,MG Road,evening,0.42,0.46,12,9,87.76,0.378,0.041,0.587,0.36,0.484,Water Leak,100,P1 Emergency,Water works team
CP-00810,Sewage Overflow near Ulsoor,sewage overflow reported at Ulsoor during afternoon. children needs attention from city staff.,Ulsoor,afternoon,0.47,0.21,78,6,132.32,0.318,0.182,0.262,0.152,0.638,Water Leak,83,P1 Emergency,Drainage crew
CP-00811,Trash near MG Road,trash reported at MG Road during evening.  needs attention from city staff.,MG Road,evening,0.33,0.54,46,9,141.61,0.773,0.132,0.362,0.51,0.362,Garbage,93,P1 Emergency,Sanitation team
CP-00812,Water Leak near Ulsoor,water leak reported at Ulsoor during night. main road traffic jam needs attention from city staff.,Ulsoor,night,0.35,0.94,62,2,178.5,0.712,0.141,0.383,0.245,0.38,Water Leak,82,P1 Emergency,Water works team
CP-00813,Water Filled Hole near Whitefield,water filled hole reported at Whitefield during afternoon. traffic jam night needs attention from city staff.,Whitefield,afternoon,1.0,3.06,92,6,37.27,0.54,0.21,0.371,0.201,0.687,Pothole,100,P1 Emergency,Roads team
CP-00814,Damaged Lane near Koramangala,damaged lane reported at Koramangala during afternoon. night accident risk elderly needs attention from city staff.,Koramangala,afternoon,0.45,2.18,55,5,124.05,0.659,0.204,0.747,0.437,0.303,Pothole,100,P1 Emergency,Roads team
CP-00815,Dumped Bags near Ulsoor,dumped bags reported at Ulsoor during morning. main road urgent needs attention from city staff.,Ulsoor,morning,0.9,1.64,71,2,35.5,0.147,0.098,0.346,0.616,0.555,Garbage,87,P1 Emergency,Waste collection crew
CP-00816,No Lighting near Whitefield,no lighting reported at Whitefield during night. main road traffic jam needs attention from city staff.,Whitefield,night,0.77,1.95,40,8,27.44,0.342,0.253,0.077,0.2,0.198,Broken Light,95,P1 Emergency,Electrical team
CP-00817,Showroom Image upload,showroom image image captured at Ulsoor during morning. Non-civic content without a public infrastructure problem.,Ulsoor,morning,0.88,2.43,4,1,138.52,0.358,0.207,0.152,0.123,0.256,Unsupported,21,P4 Low,Manual review
CP-00818,Waste Pile near Ulsoor,waste pile reported at Ulsoor during evening.  needs attention from city staff.,Ulsoor,evening,0.53,0.24,63,0,27.86,0.579,0.193,0.21,0.512,0.381,Garbage,70,P2 High,Waste collection crew
CP-00819,Sewage Overflow near Richmond Road,sewage overflow reported at Richmond Road during night. accident risk elderly needs attention from city staff.,Richmond Road,night,0.29,2.77,34,2,22.3,0.744,0.108,0.287,0.213,0.51,Water Leak,99,P1 Emergency,Drainage crew
CP-00820,No Lighting near Ulsoor,no lighting reported at Ulsoor during morning. traffic jam main road elderly needs attention from city staff.,Ulsoor,morning,0.57,0.89,48,4,51.44,0.816,0.226,0.558,0.118,0.305,Broken Light,86,P1 Emergency,Night safety crew
CP-00821,Vehicle Obstruction near MG Road,vehicle obstruction reported at MG Road during afternoon. traffic jam urgent needs attention from city staff.,MG Road,afternoon,0.89,0.46,20,4,48.97,0.72,0.143,0.628,0.274,0.467,Road Block,100,P1 Emergency,Traffic response team
CP-00822,Road Blocked near MG Road,road blocked reported at MG Road during morning.  needs attention from city staff.,MG Road,morning,0.38,2.5,13,1,79.6,0.897,0.156,0.623,0.303,0.372,Road Block,81,P1 Emergency,Traffic response team
CP-00823,Sports Car upload,sports car image captured at Ulsoor during night. Non-civic content without a public infrastructure problem.,Ulsoor,night,0.69,3.51,7,1,111.07,0.418,0.526,0.012,0.178,0.165,Unsupported,26,P4 Low,Manual review
CP-00824,Dumped Bags near Indiranagar,dumped bags reported at Indiranagar during evening. school urgent needs attention from city staff.,Indiranagar,evening,0.42,2.67,62,5,56.48,0.37,0.177,0.263,0.502,0.053,Garbage,97,P1 Emergency,Sanitation team
CP-00825,No Lighting near Whitefield,no lighting reported at Whitefield during afternoon. school accident risk dangerous urgent needs attention from city staff.,Whitefield,afternoon,0.63,3.08,47,4,28.99,0.648,0.137,0.212,0.215,0.464,Broken Light,91,P1 Emergency,Electrical team
CP-00826,Crater near Indiranagar,crater reported at Indiranagar during night.  needs attention from city staff.,Indiranagar,night,0.46,1.9,95,7,129.15,0.534,0.234,0.709,0.252,0.546,Pothole,88,P1 Emergency,Roads team
CP-00827,Damaged Lane near Ulsoor,damaged lane reported at Ulsoor during afternoon. main road needs attention from city staff.,Ulsoor,afternoon,0.86,3.15,46,0,124.81,0.581,0.242,0.37,0.225,0.188,Pothole,86,P1 Emergency,Roads team
CP-00828,Trash near Ulsoor,trash reported at Ulsoor during evening. main road needs attention from city staff.,Ulsoor,evening,0.72,0.84,30,4,21.89,0.801,0.246,0.516,0.566,0.37,Garbage,87,P1 Emergency,Waste collection crew
CP-00829,Construction Debris near Koramangala,construction debris reported at Koramangala during evening. elderly night dangerous needs attention from city staff.,Koramangala,evening,0.94,3.35,34,4,88.4,0.774,0.083,0.357,0.212,0.065,Road Block,100,P1 Emergency,Traffic response team
CP-00830,Construction Debris near Whitefield,construction debris reported at Whitefield during afternoon.  needs attention from city staff.,Whitefield,afternoon,0.73,0.48,69,7,173.66,0.51,0.094,0.359,0.225,0.443,Road Block,98,P1 Emergency,Traffic response team
CP-00831,Vehicle Obstruction near Koramangala,vehicle obstruction reported at Koramangala during afternoon.  needs attention from city staff.,Koramangala,afternoon,0.88,0.41,58,2,60.61,0.275,0.233,0.563,0.543,0.388,Road Block,100,P1 Emergency,Emergency clearing crew
CP-00832,Hero Render upload,hero render image captured at Indiranagar during afternoon. Non-civic content without a public infrastructure problem.,Indiranagar,afternoon,0.69,3.22,9,0,105.07,0.265,0.539,0.17,0.129,0.315,Unsupported,25,P4 Low,Manual review
CP-00833,Garbage near Jayanagar,garbage reported at Jayanagar during morning.  needs attention from city staff.,Jayanagar,morning,0.39,0.66,1,0,30.08,0.518,0.145,0.259,0.617,0.04,Garbage,69,P2 High,Waste collection crew
CP-00834,Road Crack near MG Road,road crack reported at MG Road during afternoon.  needs attention from city staff.,MG Road,afternoon,0.53,2.8,37,0,166.76,0.681,0.168,0.39,0.364,0.456,Pothole,64,P2 High,Emergency roads crew
CP-00835,Vehicle Obstruction near Koramangala,vehicle obstruction reported at Koramangala during evening. traffic jam night needs attention from city staff.,Koramangala,evening,0.87,2.78,5,0,51.77,0.729,0.034,0.546,0.234,0.144,Road Block,92,P1 Emergency,Emergency clearing crew
CP-00836,Road Blocked near Koramangala,road blocked reported at Koramangala during morning. dangerous needs attention from city staff.,Koramangala,morning,0.58,3.4,86,6,87.53,0.157,0.033,0.428,0.506,0.223,Road Block,89,P1 Emergency,Traffic response team
CP-00837,Overflowing Bin near MG Road,overflowing bin reported at MG Road during evening. urgent children accident risk school needs attention from city staff.,MG Road,evening,0.83,1.67,67,9,22.41,0.729,0.22,0.291,0.336,0.22,Garbage,100,P1 Emergency,Waste collection crew
CP-00838,Car Wallpaper upload,car wallpaper image captured at Jayanagar during afternoon. Non-civic content without a public infrastructure problem.,Jayanagar,afternoon,0.65,3.19,7,0,63.52,0.282,0.533,0.083,0.086,0.276,Unsupported,22,P4 Low,Manual review
CP-00839,Display Shot upload,display shot image captured at Richmond Road during night. Non-civic content without a public infrastructure problem.,Richmond Road,night,0.89,2.43,6,2,168.51,0.248,0.575,0.073,0.039,0.06,Unsupported,28,P4 Low,Manual review
CP-00840,Burst Pipe near Whitefield,burst pipe reported at Whitefield during night. dangerous needs attention from city staff.,Whitefield,night,0.47,2.13,10,1,106.69,0.75,0.191,0.111,0.069,0.539,Water Leak,71,P2 High,Drainage crew
CP-00841,3D Artwork upload,3d artwork image captured at Richmond Road during morning. Non-civic content without a public infrastructure problem.,Richmond Road,morning,0.59,3.46,6,1,156.03,0.145,0.32,0.143,0.037,0.277,Unsupported,24,P4 Low,Manual review
CP-00842,Promo Image upload,promo image image captured at MG Road during afternoon. Non-civic content without a public infrastructure problem.,MG Road,afternoon,0.94,1.98,1,0,80.43,0.352,0.252,0.105,0.079,0.242,Unsupported,22,P4 Low,Manual review
CP-00843,Vehicle Obstruction near Whitefield,vehicle obstruction reported at Whitefield during afternoon. accident risk needs attention from city staff.,Whitefield,afternoon,0.32,3.48,10,6,170.66,0.535,0.263,0.507,0.023,0.065,Road Block,95,P1 Emergency,Traffic response team
CP-00844,Showroom Image upload,showroom image image captured at MG Road during night. Non-civic content without a public infrastructure problem.,MG Road,night,0.91,2.43,7,2,159.15,0.248,0.374,0.15,0.039,0.052,Unsupported,19,P4 Low,Manual review
CP-00845,Broken Lamp near Whitefield,broken lamp reported at Whitefield during evening. dangerous accident risk children needs attention from city staff.,Whitefield,evening,0.42,2.28,73,8,23.94,0.578,0.173,0.565,0.238,0.109,Broken Light,100,P1 Emergency,Electrical team
CP-00846,Road Crack near Jayanagar,road crack reported at Jayanagar during morning. main road school traffic jam dangerous needs attention from city staff.,Jayanagar,morning,0.41,2.71,10,0,61.25,0.658,0.118,0.436,0.344,0.171,Pothole,93,P1 Emergency,Emergency roads crew
CP-00847,Vehicle Obstruction near Indiranagar,vehicle obstruction reported at Indiranagar during morning. traffic jam night elderly needs attention from city staff.,Indiranagar,morning,0.55,0.99,70,6,26.23,0.441,0.078,0.365,0.545,0.698,Road Block,100,P1 Emergency,Traffic response team
CP-00848,Waste Pile near Richmond Road,waste pile reported at Richmond Road during night. traffic jam needs attention from city staff.,Richmond Road,night,0.94,1.91,43,5,28.49,0.766,0.262,0.464,0.414,0.325,Garbage,83,P1 Emergency,Waste collection crew
CP-00849,Car Wallpaper upload,car wallpaper image captured at Whitefield during morning. Non-civic content without a public infrastructure problem.,Whitefield,morning,0.66,1.84,10,2,86.86,0.224,0.598,0.179,0.107,0.182,Unsupported,23,P4 Low,Manual review
CP-00850,Water Leak near Indiranagar,water leak reported at Indiranagar during night. urgent school needs attention from city staff.,Indiranagar,night,0.79,1.33,30,5,150.81,0.863,0.205,0.072,0.114,0.389,Water Leak,88,P1 Emergency,Drainage crew
CP-00851,Fallen Tree near MG Road,fallen tree reported at MG Road during night. urgent needs attention from city staff.,MG Road,night,0.82,2.46,7,1,71.12,0.363,0.246,0.606,0.5,0.256,Road Block,91,P1 Emergency,Emergency clearing crew
CP-00852,Road Blocked near Koramangala,road blocked reported at Koramangala during night. children needs attention from city staff.,Koramangala,night,0.32,1.58,25,2,94.19,0.543,0.263,0.466,0.333,0.269,Road Block,77,P2 High,Traffic response team
CP-00853,Road Crack near Richmond Road,road crack reported at Richmond Road during afternoon.  needs attention from city staff.,Richmond Road,afternoon,0.98,2.72,2,3,130.4,0.679,0.031,0.551,0.517,0.617,Pothole,86,P1 Emergency,Emergency roads crew
CP-00854,Product Photo upload,product photo image captured at Whitefield during afternoon. Non-civic content without a public infrastructure problem.,Whitefield,afternoon,0.99,1.83,10,2,125.21,0.408,0.244,0.071,0.025,0.057,Unsupported,18,P4 Low,Manual review
CP-00855,Vehicle Obstruction near Ulsoor,vehicle obstruction reported at Ulsoor during night.  needs attention from city staff.,Ulsoor,night,0.61,0.2,90,3,179.38,0.501,0.204,0.099,0.492,0.168,Road Block,84,P1 Emergency,Emergency clearing crew
CP-00856,Electric Pole near Richmond Road,electric pole reported at Richmond Road during night. urgent main road traffic jam needs attention from city staff.,Richmond Road,night,0.82,2.97,43,5,27.41,0.215,0.117,0.027,0.281,0.69,Broken Light,83,P1 Emergency,Night safety crew
CP-00857,Water Filled Hole near Indiranagar,water filled hole reported at Indiranagar during morning. accident risk needs attention from city staff.,Indiranagar,morning,0.72,2.33,74,2,55.01,0.754,0.113,0.619,0.028,0.555,Pothole,100,P1 Emergency,Roads team
CP-00858,Road Crack near Ulsoor,road crack reported at Ulsoor during afternoon. main road elderly needs attention from city staff.,Ulsoor,afternoon,0.26,3.11,15,1,81.44,0.936,0.229,0.507,0.023,0.63,Pothole,98,P1 Emergency,Emergency roads crew
CP-00859,Blocked Lane near Koramangala,blocked lane reported at Koramangala during afternoon. main road children needs attention from city staff.,Koramangala,afternoon,0.32,2.1,76,6,69.87,0.412,0.088,0.551,0.242,0.567,Road Block,98,P1 Emergency,Traffic response team
